Year,Month,Airline,Trend,Seasonal Factor,Seasonal Index
1,Jan,112,,,
1,Feb,118,,,
1,Mar,132,,,
1,Apr,129,,,
1,May,121,,,
1,Jun,135,,,
1,Jul,148,,,
1,Aug,148,,,
1,Sep,136,,,
1,Oct,119,,,
1,Nov,104,,,
1,Dec,118,,,
2,Jan,115,,,
2,Feb,126,,,
2,Mar,141,,,
2,Apr,135,,,
2,May,125,,,
2,Jun,149,,,
2,Jul,170,,,
2,Aug,170,,,
2,Sep,158,,,
2,Oct,133,,,
2,Nov,114,,,
2,Dec,140,,,
3,Jan,145,,,
3,Feb,150,,,
3,Mar,178,,,
3,Apr,163,,,
3,May,172,,,
3,Jun,178,,,
3,Jul,199,,,
3,Aug,199,,,
3,Sep,184,,,
3,Oct,162,,,
3,Nov,146,,,
3,Dec,166,,,
4,Jan,171,,,
4,Feb,180,,,
4,Mar,193,,,
4,Apr,181,,,
4,May,183,,,
4,Jun,218,,,
4,Jul,230,,,
4,Aug,242,,,
4,Sep,209,,,
4,Oct,191,,,
4,Nov,172,,,
4,Dec,194,,,
5,Jan,196,,,
5,Feb,196,,,
5,Mar,236,,,
5,Apr,235,,,
5,May,229,,,
5,Jun,243,,,
5,Jul,264,,,
5,Aug,272,,,
5,Sep,237,,,
5,Oct,211,,,
5,Nov,180,,,
5,Dec,201,,,
6,Jan,204,,,
6,Feb,188,,,
6,Mar,235,,,
6,Apr,227,,,
6,May,234,,,
6,Jun,264,,,
6,Jul,302,,,
6,Aug,293,,,
6,Sep,259,,,
6,Oct,229,,,
6,Nov,203,,,
6,Dec,229,,,
7,Jan,242,,,
7,Feb,233,,,
7,Mar,267,,,
7,Apr,269,,,
7,May,270,,,
7,Jun,315,,,
7,Jul,364,,,
7,Aug,347,,,
7,Sep,312,,,
7,Oct,274,,,
7,Nov,237,,,
7,Dec,278,,,
8,Jan,284,,,
8,Feb,277,,,
8,Mar,317,,,
8,Apr,313,,,
8,May,318,,,
8,Jun,374,,,
8,Jul,413,,,
8,Aug,405,,,
8,Sep,355,,,
8,Oct,306,,,
8,Nov,271,,,
8,Dec,306,,,
9,Jan,315,,,
9,Feb,301,,,
9,Mar,356,,,
9,Apr,348,,,
9,May,355,,,
9,Jun,422,,,
9,Jul,465,,,
9,Aug,467,,,
9,Sep,404,,,
9,Oct,347,,,
9,Nov,305,,,
9,Dec,336,,,
10,Jan,340,,,
10,Feb,318,,,
10,Mar,362,,,
10,Apr,348,,,
10,May,363,,,
10,Jun,435,,,
10,Jul,491,,,
10,Aug,505,,,
10,Sep,404,,,
10,Oct,359,,,
10,Nov,310,,,
10,Dec,337,,,
11,Jan,360,,,
11,Feb,342,,,
11,Mar,406,,,
11,Apr,396,,,
11,May,420,,,
11,Jun,472,,,
11,Jul,548,,,
11,Aug,559,,,
11,Sep,463,,,
11,Oct,407,,,
11,Nov,362,,,
11,Dec,405,,,
12,Jan,417,,,
12,Feb,391,,,
12,Mar,419,,,
12,Apr,461,,,
12,May,472,,,
12,Jun,535,,,
12,Jul,622,,,
12,Aug,606,,,
12,Sep,508,,,
12,Oct,461,,,
12,Nov,390,,,
12,Dec,432,,,
